,,,WholeSaler Stock As On Today(in MT)
S.No,State,District,Dealer Id,Agency Name,Dealer Type,Dealership Nature,Company,Plant,Product,Stock,Stock Date
112,Maharashtra,Kolhapur,1077930,SANMATI FERTILIZERS,WHOLESALER,Private Wholsaler,KRIBHCO,KRIBHCO Hazira,Neem Coated Urea(45 Kg),109.8,2024-01-11,
113,Maharashtra,Kolhapur,1077930,SANMATI FERTILIZERS,WHOLESALER,Private Wholsaler,KRIBHCO,KRIBHCO Import,Imported 15-15-15,12.0,2024-01-11,
114,Maharashtra,Kolhapur,245231,Shetakari SahakariSangh Br Kolhapur,WHOLESALER,District Cooperative Marketing Society,KRIBHCO,KRIBHCO Hazira,Neem Coated Urea(45 Kg),18.9,2024-01-11,
115,Maharashtra,Kolhapur,245231,Shetakari SahakariSangh Br Kolhapur,WHOLESALER,District Cooperative Marketing Society,KRIBHCO,KRIBHCO Import,Imported 10-26-26,4.5,2024-01-11,
116,Maharashtra,Kolhapur,1268951,SHREE GURUDATTA AGRO VAKARE,WHOLESALER,Private Wholsaler,KRIBHCO,KRIBHCO Hazira,Neem Coated Urea(45 Kg),0.015,2024-01-11,
117,Maharashtra,Kolhapur,1268951,SHREE GURUDATTA AGRO VAKARE,WHOLESALER,Private Wholsaler,KRIBHCO,KRIBHCO Import,Imported MAP,10.0,2024-01-11,
118,Maharashtra,Kolhapur,1268951,SHREE GURUDATTA AGRO VAKARE,WHOLESALER,Private Wholsaler,KRIBHCO,KRIBHCO Import,Imported 15-15-15,10.0,2024-01-11,
119,Maharashtra,Kolhapur,199566,Shri Bhogvati Sahakari Kharedi,WHOLESALER,District Cooperative Marketing Society,KRIBHCO,KRIBHCO Hazira,Neem Coated Urea(45 Kg),75.44,2024-01-11,
120,Maharashtra,Kolhapur,199566,Shri Bhogvati Sahakari Kharedi,WHOLESALER,District Cooperative Marketing Society,KRIBHCO,KRIBHCO Import,Imported MAP,5.0,2024-01-11,
121,Maharashtra,Kolhapur,939317,Shri Datta Shetkari Sah sakhar,WHOLESALER,District Cooperative Marketing Society,KRIBHCO,KRIBHCO Hazira,Neem Coated Urea(45 Kg),93.855,2024-01-11,
